in s,C1 in V
-6.78333E+00,-1.714E+00
-6.78320E+00,-1.694E+00
-6.78306E+00,-1.714E+00
-6.78293E+00,-1.694E+00
-6.78280E+00,-1.714E+00
-6.78267E+00,-1.714E+00
-6.78254E+00,-1.704E+00
-6.78241E+00,-1.714E+00
-6.78228E+00,-1.704E+00
-6.78215E+00,-1.714E+00
-6.78202E+00,-1.724E+00
-6.78188E+00,-1.724E+00
-6.78175E+00,-1.714E+00
-6.78162E+00,-1.724E+00
-6.78149E+00,-1.724E+00
-6.78136E+00,-1.714E+00
-6.78123E+00,-1.704E+00
-6.78110E+00,-1.724E+00
-6.78097E+00,-1.704E+00
-6.78084E+00,-1.724E+00
-6.78071E+00,-1.714E+00
-6.78057E+00,-1.714E+00
-6.78044E+00,-1.714E+00
-6.78031E+00,-1.704E+00
-6.78018E+00,-1.714E+00
-6.78005E+00,-1.743E+00
-6.77992E+00,-1.714E+00
-6.77979E+00,-1.733E+00
-6.77966E+00,-1.704E+00
-6.77953E+00,-1.704E+00
-6.77939E+00,-1.714E+00
-6.77926E+00,-1.714E+00
-6.77913E+00,-1.753E+00
-6.77900E+00,-1.724E+00
-6.77887E+00,-1.714E+00
-6.77874E+00,-1.714E+00
-6.77861E+00,-1.733E+00
-6.77848E+00,-1.743E+00
-6.77835E+00,-1.733E+00
-6.77822E+00,-1.724E+00
-6.77808E+00,-1.733E+00
-6.77795E+00,-1.724E+00
-6.77782E+00,-1.724E+00
-6.77769E+00,-1.743E+00
-6.77756E+00,-1.733E+00
-6.77743E+00,-1.714E+00
-6.77730E+00,-1.733E+00
-6.77717E+00,-1.753E+00
-6.77704E+00,-1.733E+00
-6.77691E+00,-1.743E+00
-6.77677E+00,-1.714E+00
-6.77664E+00,-1.743E+00
-6.77651E+00,-1.733E+00
-6.77638E+00,-1.782E+00
-6.77625E+00,-1.743E+00
-6.77612E+00,-1.743E+00
-6.77599E+00,-1.733E+00
-6.77586E+00,-1.724E+00
-6.77573E+00,-1.753E+00
-6.77559E+00,-1.763E+00
-6.77546E+00,-1.714E+00
-6.77533E+00,-1.743E+00
-6.77520E+00,-1.753E+00
-6.77507E+00,-1.743E+00
-6.77494E+00,-1.733E+00
-6.77481E+00,-1.763E+00
-6.77468E+00,-1.772E+00
-6.77455E+00,-1.733E+00
-6.77442E+00,-1.733E+00
-6.77428E+00,-1.782E+00
-6.77415E+00,-1.704E+00
-6.77402E+00,-1.743E+00
-6.77389E+00,-1.763E+00
-6.77376E+00,-1.772E+00
-6.77363E+00,-1.782E+00
-6.77350E+00,-1.733E+00
-6.77337E+00,-1.753E+00
-6.77324E+00,-1.763E+00
-6.77311E+00,-1.772E+00
-6.77297E+00,-1.772E+00
-6.77284E+00,-1.753E+00
-6.77271E+00,-1.763E+00
-6.77258E+00,-1.763E+00
-6.77245E+00,-1.753E+00
-6.77232E+00,-1.782E+00
-6.77219E+00,-1.753E+00
-6.77206E+00,-1.763E+00
-6.77193E+00,-1.743E+00
-6.77179E+00,-1.763E+00
-6.77166E+00,-1.743E+00
-6.77153E+00,-1.782E+00
-6.77140E+00,-1.772E+00
-6.77127E+00,-1.782E+00
-6.77114E+00,-1.782E+00
-6.77101E+00,-1.763E+00
-6.77088E+00,-1.753E+00
-6.77075E+00,-1.753E+00
-6.77062E+00,-1.792E+00
-6.77048E+00,-1.802E+00
-6.77035E+00,-1.763E+00
-6.77022E+00,-1.802E+00
