in s,C1 in V
-7.25397E+00,1.685E+00
-7.25384E+00,1.665E+00
-7.25371E+00,1.685E+00
-7.25358E+00,1.675E+00
-7.25344E+00,1.685E+00
-7.25331E+00,1.665E+00
-7.25318E+00,1.655E+00
-7.25305E+00,1.616E+00
-7.25292E+00,1.685E+00
-7.25279E+00,1.675E+00
-7.25266E+00,1.655E+00
-7.25253E+00,1.675E+00
-7.25240E+00,1.665E+00
-7.25227E+00,1.675E+00
-7.25213E+00,1.675E+00
-7.25200E+00,1.665E+00
-7.25187E+00,1.646E+00
-7.25174E+00,1.636E+00
-7.25161E+00,1.646E+00
-7.25148E+00,1.665E+00
-7.25135E+00,1.665E+00
-7.25122E+00,1.646E+00
-7.25109E+00,1.626E+00
-7.25095E+00,1.626E+00
-7.25082E+00,1.665E+00
-7.25069E+00,1.646E+00
-7.25056E+00,1.685E+00
-7.25043E+00,1.655E+00
-7.25030E+00,1.646E+00
-7.25017E+00,1.626E+00
-7.25004E+00,1.665E+00
-7.24991E+00,1.636E+00
-7.24978E+00,1.685E+00
-7.24964E+00,1.685E+00
-7.24951E+00,1.665E+00
-7.24938E+00,1.665E+00
-7.24925E+00,1.616E+00
-7.24912E+00,1.606E+00
-7.24899E+00,1.646E+00
-7.24886E+00,1.626E+00
-7.24873E+00,1.636E+00
-7.24860E+00,1.665E+00
-7.24847E+00,1.655E+00
-7.24833E+00,1.626E+00
-7.24820E+00,1.646E+00
-7.24807E+00,1.636E+00
-7.24794E+00,1.606E+00
-7.24781E+00,1.636E+00
-7.24768E+00,1.616E+00
-7.24755E+00,1.626E+00
-7.24742E+00,1.616E+00
-7.24729E+00,1.606E+00
-7.24715E+00,1.646E+00
-7.24702E+00,1.616E+00
-7.24689E+00,1.616E+00
-7.24676E+00,1.626E+00
-7.24663E+00,1.655E+00
-7.24650E+00,1.655E+00
-7.24637E+00,1.646E+00
-7.24624E+00,1.636E+00
-7.24611E+00,1.655E+00
-7.24598E+00,1.577E+00
-7.24584E+00,1.587E+00
-7.24571E+00,1.606E+00
-7.24558E+00,1.626E+00
-7.24545E+00,1.606E+00
-7.24532E+00,1.636E+00
-7.24519E+00,1.606E+00
-7.24506E+00,1.626E+00
-7.24493E+00,1.616E+00
-7.24480E+00,1.616E+00
-7.24466E+00,1.587E+00
-7.24453E+00,1.587E+00
-7.24440E+00,1.626E+00
-7.24427E+00,1.626E+00
-7.24414E+00,1.577E+00
-7.24401E+00,1.636E+00
-7.24388E+00,1.587E+00
-7.24375E+00,1.587E+00
-7.24362E+00,1.616E+00
-7.24349E+00,1.597E+00
-7.24335E+00,1.616E+00
-7.24322E+00,1.587E+00
-7.24309E+00,1.606E+00
-7.24296E+00,1.597E+00
-7.24283E+00,1.616E+00
-7.24270E+00,1.577E+00
-7.24257E+00,1.616E+00
-7.24244E+00,1.597E+00
-7.24231E+00,1.587E+00
-7.24218E+00,1.597E+00
-7.24204E+00,1.587E+00
-7.24191E+00,1.606E+00
-7.24178E+00,1.606E+00
-7.24165E+00,1.587E+00
-7.24152E+00,1.616E+00
-7.24139E+00,1.606E+00
-7.24126E+00,1.616E+00
-7.24113E+00,1.577E+00
-7.24100E+00,1.567E+00
-7.24086E+00,1.577E+00
-7.24073E+00,1.558E+00
-7.24060E+00,1.597E+00
-7.24047E+00,1.577E+00
-7.24034E+00,1.606E+00
-7.24021E+00,1.597E+00
-7.24008E+00,1.567E+00
-7.23995E+00,1.606E+00
-7.23982E+00,1.606E+00
-7.23969E+00,1.597E+00
-7.23955E+00,1.577E+00
-7.23942E+00,1.597E+00
-7.23929E+00,1.577E+00
-7.23916E+00,1.567E+00
-7.23903E+00,1.567E+00
-7.23890E+00,1.538E+00
-7.23877E+00,1.597E+00
-7.23864E+00,1.577E+00
-7.23851E+00,1.567E+00
-7.23838E+00,1.587E+00
-7.23824E+00,1.577E+00
-7.23811E+00,1.567E+00
-7.23798E+00,1.567E+00
-7.23785E+00,1.567E+00
-7.23772E+00,1.558E+00
-7.23759E+00,1.587E+00
-7.23746E+00,1.548E+00
-7.23733E+00,1.567E+00
-7.23720E+00,1.558E+00
-7.23706E+00,1.567E+00
-7.23693E+00,1.577E+00
-7.23680E+00,1.577E+00
-7.23667E+00,1.567E+00
-7.23654E+00,1.567E+00
-7.23641E+00,1.548E+00
-7.23628E+00,1.577E+00
-7.23615E+00,1.548E+00
-7.23602E+00,1.567E+00
-7.23589E+00,1.577E+00
-7.23575E+00,1.538E+00
-7.23562E+00,1.577E+00
-7.23549E+00,1.567E+00
-7.23536E+00,1.567E+00
-7.23523E+00,1.567E+00
-7.23510E+00,1.567E+00
-7.23497E+00,1.567E+00
-7.23484E+00,1.577E+00
-7.23471E+00,1.558E+00
-7.23457E+00,1.538E+00
-7.23444E+00,1.567E+00
-7.23431E+00,1.558E+00
-7.23418E+00,1.538E+00
-7.23405E+00,1.509E+00
-7.23392E+00,1.558E+00
-7.23379E+00,1.558E+00
-7.23366E+00,1.558E+00
-7.23353E+00,1.567E+00
-7.23340E+00,1.587E+00
-7.23326E+00,1.528E+00
-7.23313E+00,1.538E+00
-7.23300E+00,1.548E+00
-7.23287E+00,1.528E+00
-7.23274E+00,1.558E+00
-7.23261E+00,1.577E+00
-7.23248E+00,1.519E+00
-7.23235E+00,1.538E+00
-7.23222E+00,1.538E+00
-7.23209E+00,1.528E+00
-7.23195E+00,1.538E+00
-7.23182E+00,1.509E+00
-7.23169E+00,1.538E+00
-7.23156E+00,1.548E+00
-7.23143E+00,1.548E+00
