in s,C1 in V
-6.21980E+00,-1.108E+00
-6.21968E+00,-1.118E+00
-6.21956E+00,-1.108E+00
-6.21944E+00,-1.089E+00
-6.21932E+00,-1.118E+00
-6.21920E+00,-1.099E+00
-6.21908E+00,-1.147E+00
-6.21896E+00,-1.108E+00
-6.21884E+00,-1.118E+00
-6.21871E+00,-1.128E+00
-6.21859E+00,-1.138E+00
-6.21847E+00,-1.118E+00
-6.21835E+00,-1.138E+00
-6.21823E+00,-1.138E+00
-6.21811E+00,-1.157E+00
-6.21799E+00,-1.157E+00
-6.21787E+00,-1.147E+00
-6.21775E+00,-1.157E+00
-6.21763E+00,-1.157E+00
-6.21751E+00,-1.196E+00
-6.21738E+00,-1.157E+00
-6.21726E+00,-1.147E+00
-6.21714E+00,-1.196E+00
-6.21702E+00,-1.196E+00
-6.21690E+00,-1.206E+00
-6.21678E+00,-1.147E+00
-6.21666E+00,-1.216E+00
-6.21654E+00,-1.216E+00
-6.21642E+00,-1.206E+00
-6.21630E+00,-1.187E+00
-6.21617E+00,-1.206E+00
-6.21605E+00,-1.187E+00
-6.21593E+00,-1.187E+00
-6.21581E+00,-1.167E+00
-6.21569E+00,-1.226E+00
-6.21557E+00,-1.216E+00
-6.21545E+00,-1.216E+00
-6.21533E+00,-1.216E+00
-6.21521E+00,-1.196E+00
-6.21509E+00,-1.235E+00
-6.21497E+00,-1.245E+00
-6.21484E+00,-1.255E+00
-6.21472E+00,-1.235E+00
-6.21460E+00,-1.226E+00
-6.21448E+00,-1.255E+00
-6.21436E+00,-1.235E+00
-6.21424E+00,-1.245E+00
-6.21412E+00,-1.226E+00
-6.21400E+00,-1.265E+00
-6.21388E+00,-1.284E+00
-6.21376E+00,-1.245E+00
-6.21363E+00,-1.284E+00
-6.21351E+00,-1.284E+00
-6.21339E+00,-1.265E+00
-6.21327E+00,-1.284E+00
-6.21315E+00,-1.284E+00
-6.21303E+00,-1.304E+00
-6.21291E+00,-1.284E+00
-6.21279E+00,-1.284E+00
-6.21267E+00,-1.265E+00
-6.21255E+00,-1.304E+00
-6.21242E+00,-1.333E+00
-6.21230E+00,-1.313E+00
-6.21218E+00,-1.343E+00
-6.21206E+00,-1.304E+00
-6.21194E+00,-1.343E+00
-6.21182E+00,-1.323E+00
-6.21170E+00,-1.323E+00
-6.21158E+00,-1.343E+00
-6.21146E+00,-1.343E+00
-6.21134E+00,-1.372E+00
-6.21122E+00,-1.343E+00
-6.21109E+00,-1.304E+00
-6.21097E+00,-1.333E+00
-6.21085E+00,-1.353E+00
-6.21073E+00,-1.362E+00
-6.21061E+00,-1.343E+00
-6.21049E+00,-1.372E+00
-6.21037E+00,-1.353E+00
-6.21025E+00,-1.353E+00
-6.21013E+00,-1.372E+00
-6.21001E+00,-1.382E+00
-6.20988E+00,-1.353E+00
-6.20976E+00,-1.372E+00
-6.20964E+00,-1.362E+00
-6.20952E+00,-1.392E+00
-6.20940E+00,-1.372E+00
-6.20928E+00,-1.362E+00
-6.20916E+00,-1.401E+00
-6.20904E+00,-1.372E+00
-6.20892E+00,-1.392E+00
-6.20880E+00,-1.372E+00
-6.20868E+00,-1.392E+00
-6.20855E+00,-1.392E+00
-6.20843E+00,-1.421E+00
-6.20831E+00,-1.372E+00
-6.20819E+00,-1.382E+00
-6.20807E+00,-1.440E+00
