in s,C1 in V
-6.99552E+00,-2.197E-01
-6.99539E+00,-2.295E-01
-6.99526E+00,-2.197E-01
-6.99513E+00,-2.197E-01
-6.99500E+00,-2.393E-01
-6.99487E+00,-2.393E-01
-6.99473E+00,-2.100E-01
-6.99460E+00,-2.490E-01
-6.99447E+00,-2.686E-01
-6.99434E+00,-2.588E-01
-6.99421E+00,-2.197E-01
-6.99408E+00,-2.490E-01
-6.99395E+00,-2.686E-01
-6.99382E+00,-2.588E-01
-6.99369E+00,-2.393E-01
-6.99355E+00,-2.783E-01
-6.99342E+00,-2.490E-01
-6.99329E+00,-2.490E-01
-6.99316E+00,-2.588E-01
-6.99303E+00,-2.588E-01
-6.99290E+00,-2.588E-01
-6.99277E+00,-2.393E-01
-6.99264E+00,-2.783E-01
-6.99251E+00,-2.588E-01
-6.99238E+00,-2.393E-01
-6.99224E+00,-2.588E-01
-6.99211E+00,-2.686E-01
-6.99198E+00,-2.783E-01
-6.99185E+00,-2.588E-01
-6.99172E+00,-2.783E-01
-6.99159E+00,-2.588E-01
-6.99146E+00,-2.588E-01
-6.99133E+00,-2.588E-01
-6.99120E+00,-2.588E-01
-6.99107E+00,-2.588E-01
-6.99093E+00,-2.686E-01
-6.99080E+00,-2.881E-01
-6.99067E+00,-2.393E-01
-6.99054E+00,-2.686E-01
-6.99041E+00,-2.881E-01
-6.99028E+00,-2.783E-01
-6.99015E+00,-2.588E-01
-6.99002E+00,-2.881E-01
-6.98989E+00,-2.881E-01
-6.98975E+00,-2.783E-01
-6.98962E+00,-3.076E-01
-6.98949E+00,-2.686E-01
-6.98936E+00,-2.393E-01
-6.98923E+00,-2.881E-01
-6.98910E+00,-2.881E-01
-6.98897E+00,-2.881E-01
-6.98884E+00,-2.783E-01
-6.98871E+00,-2.588E-01
-6.98858E+00,-2.881E-01
-6.98844E+00,-3.076E-01
-6.98831E+00,-2.783E-01
-6.98818E+00,-2.783E-01
-6.98805E+00,-2.881E-01
-6.98792E+00,-3.271E-01
-6.98779E+00,-3.174E-01
-6.98766E+00,-2.686E-01
-6.98753E+00,-2.979E-01
-6.98740E+00,-3.174E-01
-6.98726E+00,-3.076E-01
-6.98713E+00,-2.588E-01
-6.98700E+00,-3.174E-01
-6.98687E+00,-2.588E-01
-6.98674E+00,-3.174E-01
-6.98661E+00,-3.076E-01
-6.98648E+00,-3.076E-01
-6.98635E+00,-2.783E-01
-6.98622E+00,-2.979E-01
-6.98609E+00,-2.686E-01
-6.98595E+00,-2.979E-01
-6.98582E+00,-2.686E-01
-6.98569E+00,-2.881E-01
-6.98556E+00,-2.979E-01
-6.98543E+00,-3.076E-01
-6.98530E+00,-2.979E-01
-6.98517E+00,-2.881E-01
-6.98504E+00,-3.174E-01
-6.98491E+00,-3.271E-01
-6.98478E+00,-3.076E-01
-6.98464E+00,-3.076E-01
-6.98451E+00,-2.979E-01
-6.98438E+00,-3.564E-01
-6.98425E+00,-3.271E-01
-6.98412E+00,-2.979E-01
-6.98399E+00,-3.174E-01
-6.98386E+00,-2.783E-01
-6.98373E+00,-2.979E-01
-6.98360E+00,-3.271E-01
-6.98346E+00,-3.271E-01
-6.98333E+00,-3.271E-01
-6.98320E+00,-3.271E-01
-6.98307E+00,-3.174E-01
-6.98294E+00,-3.369E-01
-6.98281E+00,-3.174E-01
-6.98268E+00,-3.174E-01
-6.98255E+00,-2.979E-01
-6.98242E+00,-3.467E-01
-6.98229E+00,-3.271E-01
-6.98215E+00,-3.564E-01
-6.98202E+00,-3.369E-01
-6.98189E+00,-3.467E-01
-6.98176E+00,-3.467E-01
-6.98163E+00,-3.662E-01
-6.98150E+00,-3.271E-01
-6.98137E+00,-3.662E-01
-6.98124E+00,-3.174E-01
-6.98111E+00,-3.467E-01
-6.98098E+00,-2.979E-01
