time	V(x_t)	V(y)
0.000000000000000e+000	0.000000e+000	1.093939e-018
3.442297520554133e-006	1.081430e-004	1.063468e-013
6.884595041108266e-006	2.162859e-004	1.672120e-013
1.032689256166240e-005	3.244289e-004	1.825966e-013
1.376919008221653e-005	4.325719e-004	1.525005e-013
1.721148760277067e-005	5.407148e-004	7.692387e-014
2.065378512332480e-005	6.488578e-004	-4.413338e-014
2.409608264387892e-005	7.570008e-004	-2.106712e-013
1.413344604401988e-003	4.442434e-002	-4.392504e-008
2.802593126160097e-003	8.804763e-002	-1.506427e-009
4.191841647918206e-003	1.316269e-001	1.272556e-007
5.581090169676315e-003	1.751620e-001	3.423612e-007
6.970338691434424e-003	2.186531e-001	6.438101e-007
8.359587213192533e-003	2.621002e-001	1.031603e-006
9.748835734950639e-003	3.055032e-001	1.505738e-006
1.220367934815880e-002	3.818889e-001	2.934317e-006
1.528667636191426e-002	4.772969e-001	5.718985e-006
1.918637399001026e-002	5.969349e-001	1.118405e-005
2.412489165267822e-002	7.463495e-001	2.191869e-005
3.043275865878194e-002	9.329385e-001	4.317385e-005
3.854875790858284e-002	1.164233e+000	8.554232e-005
4.915782703125497e-002	1.447977e+000	1.712715e-004
6.335645380679733e-002	1.786690e+000	3.487350e-004
8.332469069165460e-002	2.164928e+000	7.110338e-004
1.012795770063649e-001	2.389755e+000	1.137209e-003
1.097447211350640e-001	2.454203e+000	1.380163e-003
1.182970828630488e-001	2.491137e+000	1.658915e-003
1.300036715554074e-001	2.495059e+000	2.073732e-003
1.406454998826770e-001	2.451838e+000	2.479790e-003
1.579126486214869e-001	2.289207e+000	3.175677e-003
1.855077257356729e-001	1.811466e+000	4.286144e-003
2.148046007356729e-001	1.069999e+000	5.347050e-003
2.441014757356729e-001	1.851380e-001	6.135035e-003
2.733983507356729e-001	-7.245346e-001	6.529978e-003
2.975796243812058e-001	-1.407277e+000	6.471029e-003
3.223023496020314e-001	-1.971576e+000	6.010306e-003
3.452772736397166e-001	-2.327634e+000	5.282151e-003
3.552760555441665e-001	-2.423600e+000	4.867342e-003
3.628027426706562e-001	-2.470691e+000	4.504079e-003
3.720969086046402e-001	-2.498337e+000	4.016075e-003
3.814205701473568e-001	-2.491867e+000	3.491304e-003
3.929503578478691e-001	-2.436666e+000	2.798812e-003
4.116334971657803e-001	-2.239743e+000	1.621540e-003
4.346829790652100e-001	-1.829225e+000	1.508295e-004
4.594685301742892e-001	-1.218989e+000	-1.362811e-003
4.828581135931909e-001	-5.343731e-001	-2.604055e-003
5.121549885931909e-001	3.803771e-001	-3.771437e-003
5.414518635931909e-001	1.244151e+000	-4.456156e-003
5.642576889997859e-001	1.806379e+000	-4.569526e-003
5.875863392256073e-001	2.228746e+000	-4.300330e-003
6.036389610047835e-001	2.410471e+000	-3.919230e-003
6.115160140564385e-001	2.464196e+000	-3.661010e-003
6.204421791659889e-001	2.495901e+000	-3.313196e-003
6.308043769708758e-001	2.493353e+000	-2.860547e-003
6.419481416260296e-001	2.443515e+000	-2.319831e-003
6.600166519820443e-001	2.261845e+000	-1.365030e-003
6.813246836577207e-001	1.899490e+000	-1.859086e-004
7.049501149339355e-001	1.340890e+000	1.110438e-003
7.264704922325410e-001	7.284772e-001	2.175736e-003
7.557673672325410e-001	-1.810286e-001	3.317029e-003
7.850642422325410e-001	-1.066274e+000	4.040421e-003
8.077017223072438e-001	-1.658028e+000	4.216293e-003
8.309747983940399e-001	-2.127070e+000	4.011302e-003
8.524090012518362e-001	-2.399935e+000	3.549255e-003
8.605916774247975e-001	-2.459133e+000	3.293566e-003
8.693211915503364e-001	-2.493637e+000	2.959801e-003
8.803862644554928e-001	-2.494276e+000	2.485106e-003
8.912679707039150e-001	-2.447942e+000	1.967080e-003
9.089183919373602e-001	-2.276326e+000	1.052015e-003
9.302553634800104e-001	-1.921160e+000	-1.063553e-004
9.524099774711479e-001	-1.407547e+000	-1.299810e-003
9.747891055369035e-001	-7.788410e-001	-2.390507e-003
1.004085980536904e+000	1.283085e-001	-3.516738e-003
1.033382855536904e+000	1.018263e+000	-4.228407e-003
1.056190863304811e+000	1.622207e+000	-4.398779e-003
1.079619077719433e+000	2.104383e+000	-4.184998e-003
1.101298149063086e+000	2.389927e+000	-3.708264e-003
1.109758633771041e+000	2.454286e+000	-3.439510e-003
1.118313881224093e+000	2.491181e+000	-3.106830e-003
1.130009952521589e+000	2.495047e+000	-2.596623e-003
1.140655719487661e+000	2.451775e+000	-2.082177e-003
1.157929165609254e+000	2.288999e+000	-1.173544e-003
1.179449772488513e+000	1.937255e+000	1.115216e-005
1.201702427135596e+000	1.425861e+000	1.228152e-003
1.223599542566636e+000	8.142640e-001	2.315290e-003
1.252896417566636e+000	-9.097355e-002	3.471371e-003
1.282193292566636e+000	-9.840193e-001	4.214812e-003
1.305145719300067e+000	-1.597085e+000	4.409892e-003
1.328702183187233e+000	-2.088693e+000	4.218136e-003
1.349933973679060e+000	-2.376999e+000	3.769479e-003
1.358738043407912e+000	-2.447981e+000	3.496643e-003
1.367083834706404e+000	-2.487640e+000	3.180721e-003
1.376117205688324e+000	-2.499754e+000	2.799556e-003
1.384319143665762e+000	-2.482877e+000	2.418998e-003
1.397661159790402e+000	-2.399317e+000	1.742761e-003
1.419207925453411e+000	-2.124048e+000	5.783605e-004
1.441131780190239e+000	-1.685276e+000	-6.327085e-004
1.463549169932072e+000	-1.105510e+000	-1.811584e-003
1.489536331630430e+000	-3.277794e-001	-2.974781e-003
1.518833206630430e+000	5.861549e-001	-3.918661e-003
1.545197512709170e+000	1.344802e+000	-4.356694e-003
1.566942751713411e+000	1.863654e+000	-4.352984e-003
1.589139876907698e+000	2.250431e+000	-4.027085e-003
1.602956928764368e+000	2.404700e+000	-3.673243e-003
1.611003204182830e+000	2.461428e+000	-3.401715e-003
1.619819853683506e+000	2.494705e+000	-3.054313e-003
1.630572337434614e+000	2.493873e+000	-2.581395e-003
1.641570679724232e+000	2.445994e+000	-2.046663e-003
1.659407264268716e+000	2.269933e+000	-1.105764e-003
1.680845204630510e+000	1.909249e+000	7.495302e-005
1.703129653765232e+000	1.388804e+000	1.289267e-003
1.725339861175406e+000	7.623810e-001	2.381042e-003
1.754636736175406e+000	-1.455850e-001	3.513986e-003
1.783933611175406e+000	-1.034040e+000	4.228091e-003
1.806730234650499e+000	-1.635063e+000	4.397543e-003
1.830151501266783e+000	-2.113366e+000	4.181093e-003
1.851897599860349e+000	-2.395386e+000	3.700063e-003
1.860207955565977e+000	-2.456934e+000	3.434959e-003
1.868856839793427e+000	-2.492554e+000	3.097836e-003
1.880212868579853e+000	-2.494638e+000	2.601895e-003
1.890985868514309e+000	-2.449726e+000	2.080842e-003
1.908462667176788e+000	-2.282208e+000	1.161380e-003
1.929940670094526e+000	-1.927471e+000	-2.061672e-005
1.952191991775656e+000	-1.413201e+000	-1.236111e-003
1.974036017234023e+000	-8.012873e-001	-2.317798e-003
2.003332892234023e+000	1.046753e-001	-3.468484e-003
2.032629767234023e+000	9.966099e-001	-4.205658e-003
2.055536122418953e+000	1.606501e+000	-4.395312e-003
2.079051654513122e+000	2.094706e+000	-4.199006e-003
2.100320927779985e+000	2.380738e+000	-3.746009e-003
2.109027259765653e+000	2.449809e+000	-3.475008e-003
2.117431941162812e+000	2.488703e+000	-3.155608e-003
2.126735284028040e+000	2.499406e+000	-2.761264e-003
2.135325508731758e+000	2.478984e+000	-2.360351e-003
2.149295027859457e+000	2.384392e+000	-1.648010e-003
2.171824009107212e+000	2.079564e+000	-4.265095e-004
2.194001240271447e+000	1.617610e+000	7.948676e-004
2.216494633835479e+000	1.021777e+000	1.960140e-003
2.243465833901496e+000	2.050463e-001	3.127623e-003
2.272762708901496e+000	-7.053995e-001	4.018138e-003
2.297280521878230e+000	-1.399500e+000	4.378173e-003
2.318725225676456e+000	-1.900509e+000	4.339762e-003
2.340552717362786e+000	-2.269406e+000	3.998775e-003
2.352943682836220e+000	-2.404586e+000	3.674639e-003
2.360993250896617e+000	-2.461374e+000	3.401042e-003
2.369807784951663e+000	-2.494680e+000	3.053567e-003
2.380567835612590e+000	-2.493883e+000	2.580138e-003
