time	V(x_t)	V(y)
0.000000000000000e+000	-2.500000e+000	-1.310778e-002
5.000000000000000e+000	-2.500000e+000	-1.310778e-002
5.000000002201582e+000	-2.483488e+000	-1.310778e-002
5.000000006604747e+000	-2.450464e+000	-1.310778e-002
5.000000013264843e+000	-2.400514e+000	-1.310778e-002
5.000000019277082e+000	-2.355422e+000	-1.310778e-002
5.000000026269872e+000	-2.302976e+000	-1.310778e-002
5.000000035600724e+000	-2.232995e+000	-1.310778e-002
5.000000048771509e+000	-2.134214e+000	-1.310778e-002
5.000000067199744e+000	-1.996002e+000	-1.310778e-002
5.000000094629519e+000	-1.790279e+000	-1.310778e-002
5.000000126769692e+000	-1.549227e+000	-1.310778e-002
5.000000168446660e+000	-1.236650e+000	-1.310778e-002
5.000000220888336e+000	-8.433375e-001	-1.310778e-002
5.000000289780999e+000	-3.266425e-001	-1.310777e-002
5.000000354813780e+000	1.611034e-001	-1.310776e-002
5.000000452476698e+000	8.935753e-001	-1.310773e-002
5.000000543241532e+000	1.574311e+000	-1.310770e-002
5.000000695264218e+000	2.714482e+000	-1.310767e-002
5.000000794566442e+000	3.459248e+000	-1.310766e-002
5.000000833993228e+000	3.754949e+000	-1.310766e-002
5.000000912846801e+000	4.346351e+000	-1.310768e-002
5.000001000000000e+000	5.000000e+000	-1.310771e-002
5.000001008715320e+000	5.000000e+000	-1.310771e-002
5.000001026145960e+000	5.000000e+000	-1.310772e-002
5.000001130729800e+000	5.000000e+000	-1.310775e-002
5.000001239682608e+000	5.000000e+000	-1.310777e-002
5.000001406859336e+000	5.000000e+000	-1.310778e-002
5.000001631333277e+000	5.000000e+000	-1.310778e-002
5.000002052043135e+000	5.000000e+000	-1.310777e-002
5.000002777314256e+000	5.000000e+000	-1.310778e-002
5.000003618566840e+000	5.000000e+000	-1.310778e-002
5.000004834653120e+000	5.000000e+000	-1.310778e-002
5.000005705405496e+000	5.000000e+000	-1.310778e-002
5.000006728868295e+000	5.000000e+000	-1.310778e-002
5.000008076789346e+000	5.000000e+000	-1.310779e-002
5.000008658913696e+000	5.000000e+000	-1.310779e-002
5.000009016116787e+000	5.000000e+000	-1.310779e-002
5.000009161704331e+000	5.000000e+000	-1.310779e-002
5.000009269733690e+000	5.000000e+000	-1.310779e-002
5.000009384962818e+000	5.000000e+000	-1.310779e-002
5.000009450311177e+000	5.000000e+000	-1.310779e-002
