in s,C2 in V
-6.81650E+00,1.465E-03
-6.81637E+00,3.613E-03
-6.81624E+00,1.855E-03
-6.81611E+00,1.660E-03
-6.81598E+00,4.004E-03
-6.81584E+00,6.836E-04
-6.81571E+00,5.176E-03
-6.81558E+00,1.855E-03
-6.81545E+00,2.930E-04
-6.81532E+00,5.566E-03
-6.81519E+00,8.789E-04
-6.81506E+00,2.832E-03
-6.81493E+00,4.395E-03
-6.81480E+00,1.855E-03
-6.81467E+00,6.152E-03
-6.81453E+00,2.832E-03
-6.81440E+00,4.883E-04
-6.81427E+00,2.832E-03
-6.81414E+00,6.836E-04
-6.81401E+00,4.980E-03
-6.81388E+00,-1.270E-03
-6.81375E+00,-4.883E-04
-6.81362E+00,5.176E-03
-6.81349E+00,-6.836E-04
-6.81335E+00,-1.074E-03
-6.81322E+00,6.836E-04
-6.81309E+00,8.789E-04
-6.81296E+00,5.762E-03
-6.81283E+00,-9.766E-05
-6.81270E+00,9.766E-05
-6.81257E+00,3.613E-03
-6.81244E+00,1.660E-03
-6.81231E+00,8.789E-04
-6.81218E+00,1.465E-03
-6.81204E+00,8.789E-04
-6.81191E+00,4.395E-03
-6.81178E+00,2.930E-04
-6.81165E+00,1.074E-03
-6.81152E+00,4.395E-03
-6.81139E+00,1.270E-03
-6.81126E+00,-4.883E-04
-6.81113E+00,1.074E-03
-6.81100E+00,-4.883E-04
-6.81086E+00,5.566E-03
-6.81073E+00,1.270E-03
-6.81060E+00,2.930E-04
-6.81047E+00,1.074E-03
-6.81034E+00,-2.930E-04
-6.81021E+00,2.441E-03
-6.81008E+00,1.074E-03
-6.80995E+00,-2.051E-03
-6.80982E+00,4.980E-03
-6.80969E+00,1.660E-03
-6.80955E+00,9.766E-05
-6.80942E+00,4.199E-03
-6.80929E+00,4.883E-04
-6.80916E+00,-4.883E-04
-6.80903E+00,6.836E-04
-6.80890E+00,4.883E-04
-6.80877E+00,5.957E-03
-6.80864E+00,1.660E-03
-6.80851E+00,-1.855E-03
-6.80838E+00,4.785E-03
-6.80824E+00,1.855E-03
-6.80811E+00,9.766E-05
-6.80798E+00,4.883E-04
-6.80785E+00,8.789E-04
-6.80772E+00,4.395E-03
-6.80759E+00,2.930E-04
-6.80746E+00,-1.855E-03
-6.80733E+00,1.855E-03
-6.80720E+00,-9.766E-05
-6.80706E+00,8.789E-04
-6.80693E+00,2.051E-03
-6.80680E+00,6.836E-04
-6.80667E+00,4.980E-03
-6.80654E+00,6.836E-04
-6.80641E+00,2.930E-04
-6.80628E+00,6.152E-03
-6.80615E+00,3.027E-03
-6.80602E+00,6.836E-04
-6.80589E+00,3.027E-03
-6.80575E+00,2.051E-03
-6.80562E+00,2.637E-03
-6.80549E+00,1.270E-03
-6.80536E+00,-8.789E-04
-6.80523E+00,-9.766E-05
-6.80510E+00,2.930E-04
-6.80497E+00,2.246E-03
-6.80484E+00,6.836E-04
-6.80471E+00,9.766E-05
-6.80457E+00,1.660E-03
-6.80444E+00,1.465E-03
-6.80431E+00,9.766E-05
-6.80418E+00,2.832E-03
-6.80405E+00,-1.465E-03
-6.80392E+00,4.199E-03
