time	V(x_t)	V(y)
0.000000000000000e+000	0.000000e+000	9.332272e-019
2.692532378555927e-007	8.458839e-006	9.635638e-012
5.385064757111854e-007	1.691768e-005	1.892516e-011
8.077597135667781e-007	2.537652e-005	2.786857e-011
1.077012951422371e-006	3.383536e-005	3.646587e-011
1.346266189277963e-006	4.229420e-005	4.471705e-011
1.615519427133556e-006	5.075304e-005	5.262212e-011
1.884772664989148e-006	5.921188e-005	6.018108e-011
2.271386870191560e-006	7.135772e-005	6.147692e-011
2.629591850054331e-006	8.261106e-005	6.349243e-011
3.122928463362784e-006	9.810969e-005	6.406148e-011
3.676038312066024e-006	1.154862e-004	6.364130e-011
4.413417689142568e-006	1.386516e-004	6.350965e-011
5.275454653238773e-006	1.657333e-004	6.287641e-011
6.394812850803764e-006	2.008990e-004	6.169383e-011
7.739080693860355e-006	2.431304e-004	6.005067e-011
9.457527395658937e-006	2.971170e-004	5.729536e-011
1.155342240745712e-005	3.629615e-004	5.317155e-011
1.420628677793311e-005	4.463037e-004	4.664386e-011
1.747095011829897e-005	5.488661e-004	3.673382e-011
2.157827223762913e-005	6.779014e-004	2.144316e-011
2.665973275589481e-005	8.375402e-004	-1.449246e-012
3.302994997305770e-005	1.037666e-003	-3.547657e-011
4.093676000009728e-005	1.286066e-003	-8.381669e-011
5.082955822638782e-005	1.596858e-003	-1.489292e-010
6.121787972082804e-005	1.923216e-003	-2.156815e-010
7.182343243232077e-005	2.256399e-003	-2.726574e-010
8.173996797011620e-005	2.567936e-003	-3.037882e-010
9.220303838684718e-005	2.896643e-003	-2.982809e-010
1.032245896798259e-004	3.242895e-003	-2.313411e-010
1.153064496962672e-004	3.622458e-003	-5.748714e-011
1.291163270493178e-004	4.056307e-003	3.190383e-010
1.463187059642767e-004	4.596735e-003	1.133853e-009
1.665386472677657e-004	5.231962e-003	2.740896e-009
1.909861078884689e-004	6.000000e-003	5.932553e-009
2.195320480143752e-004	6.896794e-003	1.197693e-008
2.535167559212335e-004	7.964450e-003	2.353322e-008
2.932019048655534e-004	9.211189e-003	4.506870e-008
3.401628253444760e-004	1.068650e-002	8.552171e-008
3.951794561626603e-004	1.241488e-002	1.528609e-007
4.172015830922802e-004	1.310671e-002	1.871318e-007
4.287753699196551e-004	1.347031e-002	2.080434e-007
4.357378861034288e-004	1.368904e-002	2.232278e-007
4.427796695102265e-004	1.391026e-002	2.391147e-007
4.502709611663815e-004	1.414560e-002	2.570060e-007
4.537889115788590e-004	1.425612e-002	2.650767e-007
4.579775206855870e-004	1.438771e-002	2.750886e-007
4.606549293644241e-004	1.447182e-002	2.819279e-007
4.638512784553421e-004	1.457223e-002	2.895261e-007
4.680048544722910e-004	1.470272e-002	3.004596e-007
4.731026542895241e-004	1.486287e-002	3.141022e-007
4.832982539239904e-004	1.518317e-002	3.422883e-007
4.970914376796657e-004	1.561649e-002	3.829616e-007
6.185774053952398e-004	1.943299e-002	8.815672e-007
7.496202595964833e-004	2.354967e-002	1.707555e-006
1.011705967998970e-003	3.178282e-002	4.258855e-006
1.535877384803944e-003	4.824802e-002	1.295058e-005
2.584220218413892e-003	8.117140e-002	4.466119e-005
4.680905885633788e-003	1.469702e-001	1.651415e-004
8.874277220073579e-003	2.782162e-001	6.321373e-004
1.726101988895316e-002	5.380287e-001	2.449824e-003
3.403450522671233e-002	1.036925e+000	9.123945e-003
6.138141329037250e-002	1.742744e+000	2.664292e-002
9.067828829037250e-002	2.271058e+000	5.221710e-002
1.018939626278705e-001	2.395353e+000	6.411838e-002
1.102052277292886e-001	2.456918e+000	7.398273e-002
1.188535409375776e-001	2.492546e+000	8.487353e-002
1.302116362798836e-001	2.494641e+000	9.989274e-002
1.409838635977148e-001	2.449739e+000	1.147944e-001
1.584594278632423e-001	2.282249e+000	1.396907e-001
1.584619333832133e-001	2.282218e+000	1.396944e-001
1.584700225683783e-001	2.282114e+000	1.397062e-001
1.584772595155504e-001	2.282021e+000	1.397167e-001
1.584917334098948e-001	2.281835e+000	1.397378e-001
1.585206811985836e-001	2.281463e+000	1.397800e-001
1.585785767759612e-001	2.280719e+000	1.398643e-001
1.586943679307162e-001	2.279227e+000	1.400330e-001
1.588654244692957e-001	2.277014e+000	1.402821e-001
1.588719132713522e-001	2.276929e+000	1.402915e-001
1.588793290451310e-001	2.276833e+000	1.403023e-001
1.588941605926886e-001	2.276641e+000	1.403239e-001
1.589006047787851e-001	2.276557e+000	1.403333e-001
1.589070489648815e-001	2.276473e+000	1.403427e-001
1.589134931509780e-001	2.276390e+000	1.403520e-001
1.589199373370745e-001	2.276306e+000	1.403614e-001
1.589263815231710e-001	2.276222e+000	1.403708e-001
1.589328257092675e-001	2.276139e+000	1.403802e-001
1.589392698953639e-001	2.276055e+000	1.403895e-001
1.589549612808219e-001	2.275851e+000	1.404124e-001
1.589593283190570e-001	2.275794e+000	1.404187e-001
1.589629869131766e-001	2.275747e+000	1.404240e-001
1.589654636047386e-001	2.275714e+000	1.404276e-001
1.589681677734237e-001	2.275679e+000	1.404316e-001
1.589785118819884e-001	2.275545e+000	1.404466e-001
1.589875392766016e-001	2.275427e+000	1.404597e-001
1.590055940658279e-001	2.275192e+000	1.404860e-001
1.590417036442806e-001	2.274722e+000	1.405385e-001
1.590671981165574e-001	2.274389e+000	1.405755e-001
1.590960263790444e-001	2.274013e+000	1.406174e-001
1.591355920456164e-001	2.273496e+000	1.406749e-001
1.591529474441059e-001	2.273270e+000	1.407001e-001
1.591621279935598e-001	2.273150e+000	1.407134e-001
1.591713641115607e-001	2.273029e+000	1.407268e-001
1.591786421227188e-001	2.272934e+000	1.407374e-001
1.601080910973747e-001	2.260617e+000	1.420788e-001
1.610375400720306e-001	2.247996e+000	1.434052e-001
1.619669890466865e-001	2.235070e+000	1.447164e-001
1.628964380213424e-001	2.221840e+000	1.460126e-001
1.638258869959983e-001	2.208305e+000	1.472936e-001
1.647553359706542e-001	2.194465e+000	1.485595e-001
1.656847849453101e-001	2.180322e+000	1.498103e-001
1.721858919865123e-001	2.073232e+000	1.581368e-001
1.851881060689168e-001	1.818371e+000	1.725732e-001
2.111925342337257e-001	1.171420e+000	1.946465e-001
2.404894092337257e-001	2.980733e-001	2.095238e-001
2.697862842337257e-001	-6.152194e-001	2.127478e-001
2.990831592337257e-001	-1.446064e+000	2.039881e-001
3.283800342337257e-001	-2.083115e+000	1.843747e-001
3.466786910711499e-001	-2.343337e+000	1.666026e-001
3.563141911413674e-001	-2.431395e+000	1.550605e-001
3.640951972376554e-001	-2.476564e+000	1.445465e-001
3.723825642764401e-001	-2.498648e+000	1.323420e-001
3.815268511252405e-001	-2.491596e+000	1.177029e-001
3.931237696748617e-001	-2.435442e+000	9.796450e-002
3.932074851307282e-001	-2.434847e+000	9.781253e-002
3.932912005865948e-001	-2.434249e+000	9.766043e-002
3.933749160424614e-001	-2.433649e+000	9.750820e-002
3.934586314983279e-001	-2.433046e+000	9.735586e-002
3.935423469541945e-001	-2.432440e+000	9.720339e-002
3.936260624100611e-001	-2.431831e+000	9.705080e-002
3.937097778659277e-001	-2.431220e+000	9.689809e-002
3.942969328440603e-001	-2.426856e+000	9.582359e-002
3.954712428003256e-001	-2.417734e+000	9.365658e-002
4.025171025379175e-001	-2.352020e+000	8.028085e-002
4.061856743641799e-001	-2.310472e+000	7.306312e-002
4.063324631087130e-001	-2.308706e+000	7.276977e-002
4.066260405977794e-001	-2.305152e+000	7.218194e-002
4.072131955759120e-001	-2.297950e+000	7.100239e-002
4.080999240762628e-001	-2.286836e+000	6.921021e-002
4.098733810769643e-001	-2.263758e+000	6.559554e-002
4.151525371678473e-001	-2.188454e+000	5.453602e-002
4.221918415745140e-001	-2.073128e+000	3.940989e-002
4.221927008121589e-001	-2.073112e+000	3.940799e-002
4.221978562380290e-001	-2.073022e+000	3.939664e-002
4.231717710071268e-001	-2.055755e+000	3.724473e-002
4.241456857762246e-001	-2.038189e+000	3.508236e-002
4.251196005453224e-001	-2.020322e+000	3.290954e-002
4.260935153144202e-001	-2.002156e+000	3.072625e-002
4.270674300835180e-001	-1.983689e+000	2.853249e-002
4.280413448526158e-001	-1.964922e+000	2.632828e-002
4.290152596217136e-001	-1.945855e+000	2.411361e-002
4.290630819770137e-001	-1.944911e+000	2.400458e-002
4.291109043323138e-001	-1.943967e+000	2.389552e-002
4.291587266876138e-001	-1.943022e+000	2.378645e-002
4.292065490429138e-001	-1.942076e+000	2.367735e-002
4.292543713982139e-001	-1.941130e+000	2.356824e-002
4.293021937535140e-001	-1.940183e+000	2.345910e-002
4.293500161088140e-001	-1.939235e+000	2.334994e-002
4.293664709620313e-001	-1.938908e+000	2.331237e-002
4.293802951691530e-001	-1.938634e+000	2.328080e-002
4.294079435833963e-001	-1.938086e+000	2.321767e-002
4.294293062076083e-001	-1.937662e+000	2.316888e-002
4.294488385329599e-001	-1.937274e+000	2.312427e-002
4.294721450190434e-001	-1.936811e+000	2.307103e-002
4.294937803987657e-001	-1.936381e+000	2.302161e-002
4.295197694129402e-001	-1.935865e+000	2.296223e-002
4.295417322162983e-001	-1.935428e+000	2.291205e-002
4.295636950196564e-001	-1.934991e+000	2.286186e-002
4.295856578230146e-001	-1.934554e+000	2.281167e-002
