time	V(x_t)	V(y)
0.000000000000000e+000	0.000000e+000	9.332272e-019
5.555443241202552e-007	4.363235e-006	5.280511e-012
1.111088648240510e-006	8.726470e-006	9.563219e-012
1.666632972360765e-006	1.308970e-005	1.284812e-011
2.222177296481021e-006	1.745294e-005	1.513523e-011
2.777721620601276e-006	2.181617e-005	1.642453e-011
3.333265944721531e-006	2.617941e-005	1.671603e-011
3.888810268841785e-006	3.054264e-005	1.600972e-011
4.679208161868945e-006	3.675041e-005	1.577080e-011
5.596968331504131e-006	4.395849e-005	1.567740e-011
6.802613776975766e-006	5.342760e-005	1.529940e-011
8.240194993153393e-006	6.471834e-005	1.482557e-011
1.008864586933211e-005	7.923604e-005	1.404188e-011
1.233320282480109e-005	9.686475e-005	1.284532e-011
1.518419278864009e-005	1.192564e-004	1.097813e-011
1.868351498230108e-005	1.467400e-004	8.133075e-012
2.309524050979829e-005	1.813896e-004	3.767574e-012
2.854476526510530e-005	2.241901e-004	-2.735552e-012
3.538484698835695e-005	2.779119e-004	-1.231610e-011
4.386691007437813e-005	3.445299e-004	-2.569815e-011
5.448724364887338e-005	4.279418e-004	-4.306367e-011
6.769169431859047e-005	5.316493e-004	-6.144853e-011
8.420885699993923e-005	6.613748e-004	-7.085261e-011
1.021606545783487e-004	8.023679e-004	-4.962428e-011
1.204220043819357e-004	9.457922e-004	2.803461e-011
1.392350738025778e-004	1.093550e-003	1.980251e-010
1.589612895213046e-004	1.248479e-003	5.198286e-010
1.819364502140312e-004	1.428925e-003	1.150377e-009
2.089485445292837e-004	1.641078e-003	2.360504e-009
2.409320123813062e-004	1.892275e-003	4.669091e-009
2.784651268037858e-004	2.187060e-003	9.001917e-009
3.226780711996913e-004	2.534307e-003	1.711966e-008
3.745667474307889e-004	2.941840e-003	3.221027e-008
4.357248036738356e-004	3.422173e-003	6.028549e-008
5.078255153066434e-004	3.988450e-003	1.123758e-007
5.933409869265397e-004	4.660087e-003	2.093187e-007
6.952900973632264e-004	5.460791e-003	3.900905e-007
8.182011203805883e-004	6.426129e-003	7.296645e-007
9.686597170273469e-004	7.607824e-003	1.318485e-006
1.045688763739501e-003	8.212806e-003	1.709191e-006
1.092602466210253e-003	8.581263e-003	1.995252e-006
1.137233327718053e-003	8.931790e-003	2.298824e-006
1.173715793160553e-003	9.218321e-003	2.568624e-006
1.215903846374747e-003	9.549663e-003	2.904728e-006
1.256409030228361e-003	9.867787e-003	3.251494e-006
1.307827930048764e-003	1.027163e-002	3.734211e-006
1.410665729689570e-003	1.107931e-002	4.810277e-006
1.524913086489317e-003	1.197659e-002	6.150177e-006
1.619574685641325e-003	1.272005e-002	7.381299e-006
1.675625721556473e-003	1.316027e-002	8.174595e-006
1.743974100200408e-003	1.369707e-002	9.207258e-006
1.808728599167939e-003	1.420564e-002	1.023896e-005
1.876202176395766e-003	1.473557e-002	1.137926e-005
2.002090051566288e-003	1.572428e-002	1.364699e-005
2.169043196096235e-003	1.703549e-002	1.685036e-005
2.344835162168414e-003	1.841613e-002	2.041443e-005
2.504832863068006e-003	1.967271e-002	2.378859e-005
2.674307424796791e-003	2.100371e-002	2.745012e-005
2.851971090122990e-003	2.239903e-002	3.134561e-005
3.028883068111716e-003	2.378843e-002	3.528179e-005
3.243474943606247e-003	2.547375e-002	4.016597e-005
3.448840328210297e-003	2.708660e-002	4.502098e-005
3.640455455022898e-003	2.859145e-002	4.979501e-005
3.792477764890977e-003	2.978535e-002	5.382297e-005
3.933601940410873e-003	3.089365e-002	5.777855e-005
4.002740304510871e-003	3.143662e-002	5.981490e-005
4.090860076896369e-003	3.212865e-002	6.251122e-005
4.134232598343472e-003	3.246927e-002	6.387679e-005
4.278394963269187e-003	3.360142e-002	6.864080e-005
4.379498655600340e-003	3.439542e-002	7.212740e-005
4.436670203431396e-003	3.484440e-002	7.416184e-005
4.511469004875167e-003	3.543181e-002	7.689915e-005
4.578808243257700e-003	3.596064e-002	7.942155e-005
4.648154616291102e-003	3.650522e-002	8.209082e-005
4.786847362357906e-003	3.759439e-002	8.759912e-005
4.990121560653874e-003	3.919072e-002	9.593131e-005
5.188259380177840e-003	4.074669e-002	1.042774e-004
5.354284605099687e-003	4.205047e-002	1.114032e-004
