time	V(x_t)	V(y)
0.000000000000000e+000	0.000000e+000	5.253836e-019
2.692532100501483e-007	8.458839e-006	9.642088e-012
5.385064201002967e-007	1.691768e-005	1.893858e-011
8.077596301504449e-007	2.537652e-005	2.788948e-011
1.077012840200593e-006	3.383536e-005	3.649479e-011
1.346266050250742e-006	4.229420e-005	4.475451e-011
1.615519260300890e-006	5.075303e-005	5.266863e-011
1.884772470351038e-006	5.921187e-005	6.023716e-011
2.271265098104381e-006	7.135390e-005	6.154701e-011
2.629406122018973e-006	8.260523e-005	6.356903e-011
3.122537581679625e-006	9.809741e-005	6.413681e-011
3.675454572937571e-006	1.154678e-004	6.370730e-011
4.412507440523592e-006	1.386230e-004	6.355957e-011
5.274263411039545e-006	1.656959e-004	6.290986e-011
6.393290286662738e-006	2.008511e-004	6.171171e-011
7.737358374672713e-006	2.430763e-004	6.005737e-011
9.455668557385282e-006	2.970586e-004	5.729444e-011
1.155163013528827e-005	3.629051e-004	5.316531e-011
1.420469369246719e-005	4.462536e-004	4.663313e-011
1.746979890676642e-005	5.488299e-004	3.671778e-011
2.157775751331709e-005	6.778853e-004	2.142020e-011
2.666018110628373e-005	8.375543e-004	-1.481760e-012
3.303170343850608e-005	1.037722e-003	-3.552130e-011
4.094036194917682e-005	1.286179e-003	-8.387563e-011
5.083568305508391e-005	1.597050e-003	-1.490001e-010
6.122310215416155e-005	1.923380e-003	-2.157289e-010
7.182760105995126e-005	2.256530e-003	-2.726653e-010
8.174498996095671e-005	2.568094e-003	-3.037502e-010
9.220940404350132e-005	2.896843e-003	-2.981692e-010
1.032331023299292e-004	3.243163e-003	-2.311086e-010
1.153175876587438e-004	3.622808e-003	-5.704436e-011
1.291334843488433e-004	4.056846e-003	3.199359e-010
1.463413347978618e-004	4.597446e-003	1.135564e-009
1.665697070778541e-004	5.232938e-003	2.744272e-009
1.910260017891114e-004	6.001253e-003	5.938931e-009
2.195845859282610e-004	6.898445e-003	1.198927e-008
2.535840283692658e-004	7.966564e-003	2.355652e-008
2.932894652965877e-004	9.213939e-003	4.511350e-008
3.402757168376922e-004	1.069004e-002	8.560694e-008
3.953269228843415e-004	1.241951e-002	1.530089e-007
4.173070516505818e-004	1.311003e-002	1.872114e-007
4.288517744492988e-004	1.347271e-002	2.081055e-007
4.359139276440248e-004	1.369457e-002	2.234834e-007
4.430284121096831e-004	1.391808e-002	2.395316e-007
4.506476519020773e-004	1.415744e-002	2.577153e-007
4.542120493618306e-004	1.426942e-002	2.659267e-007
4.584753192639237e-004	1.440335e-002	2.761812e-007
4.644979182243180e-004	1.459255e-002	2.910097e-007
4.741647915312855e-004	1.489624e-002	3.167559e-007
6.518565617999743e-004	2.047849e-002	1.064619e-006
8.295483320686630e-004	2.606058e-002	2.357666e-006
1.007240102337352e-003	3.164251e-002	4.195897e-006
1.184931872606041e-003	3.722428e-002	6.579311e-006
1.362623642874730e-003	4.280588e-002	9.507909e-006
1.540315413143418e-003	4.838732e-002	1.298169e-005
1.718007183412107e-003	5.396859e-002	1.700066e-005
2.949574703219184e-003	9.264240e-002	5.955983e-005
5.412709742833340e-003	1.699142e-001	2.203529e-004
1.033897982206165e-002	3.238956e-001	8.075613e-004
1.860043904939232e-002	5.790436e-001	2.471871e-003
3.041490563541682e-002	9.324181e-001	6.176272e-003
4.679962630314297e-002	1.386956e+000	1.352123e-002
6.814437354605472e-002	1.888603e+000	2.614640e-002
9.563889453265358e-002	2.331755e+000	4.552246e-002
1.055436137843368e-001	2.425648e+000	5.325852e-002
1.131359695099091e-001	2.472267e+000	5.954689e-002
1.225598929659030e-001	2.498825e+000	6.754000e-002
1.315928171872498e-001	2.491425e+000	7.533135e-002
1.338147441621526e-001	2.484637e+000	7.725823e-002
1.360366711370554e-001	2.475940e+000	7.918949e-002
1.382585981119582e-001	2.465333e+000	8.112513e-002
1.404805250868610e-001	2.452817e+000	8.306515e-002
1.427024520617638e-001	2.438391e+000	8.500955e-002
1.449243790366666e-001	2.422055e+000	8.695833e-002
1.471463060115694e-001	2.403811e+000	8.891148e-002
1.510621777979649e-001	2.367118e+000	9.235303e-002
1.510636117455217e-001	2.367104e+000	9.235425e-002
1.513430266694492e-001	2.364265e+000	9.259988e-002
1.516224415933766e-001	2.361397e+000	9.284551e-002
1.519018565173041e-001	2.358501e+000	9.309112e-002
1.521812714412316e-001	2.355575e+000	9.333672e-002
1.524606863651590e-001	2.352620e+000	9.358232e-002
1.527401012890865e-001	2.349636e+000	9.382791e-002
1.530195162130140e-001	2.346623e+000	9.407349e-002
1.536166633745952e-001	2.340086e+000	9.459837e-002
1.542138105361764e-001	2.333419e+000	9.512317e-002
1.548109576977576e-001	2.326620e+000	9.564790e-002
1.554081048593389e-001	2.319691e+000	9.617254e-002
1.560052520209201e-001	2.312631e+000	9.669711e-002
1.566023991825013e-001	2.305440e+000	9.722159e-002
1.571995463440825e-001	2.298119e+000	9.774600e-002
1.574981988828218e-001	2.294409e+000	9.800822e-002
1.575314981205906e-001	2.293993e+000	9.803745e-002
1.575980965961283e-001	2.293161e+000	9.809592e-002
1.576367773107937e-001	2.292677e+000	9.812988e-002
1.576632754235200e-001	2.292345e+000	9.815314e-002
1.576825591045844e-001	2.292103e+000	9.817007e-002
1.576954041093645e-001	2.291942e+000	9.818135e-002
1.577048347942660e-001	2.291823e+000	9.818963e-002
1.577119311557403e-001	2.291734e+000	9.819586e-002
1.577177805118893e-001	2.291661e+000	9.820099e-002
1.577237160749296e-001	2.291586e+000	9.820621e-002
1.577296285566342e-001	2.291512e+000	9.821139e-002
1.577374561838584e-001	2.291414e+000	9.821827e-002
1.577526241572878e-001	2.291223e+000	9.823158e-002
1.577691089908598e-001	2.291016e+000	9.824605e-002
1.577950372183580e-001	2.290690e+000	9.826881e-002
1.578360944348175e-001	2.290173e+000	9.830483e-002
1.579036125899604e-001	2.289321e+000	9.836407e-002
1.579404820244408e-001	2.288856e+000	9.839640e-002
1.580142208934016e-001	2.287923e+000	9.846102e-002
1.580144256629271e-001	2.287920e+000	9.846120e-002
1.580148352019783e-001	2.287915e+000	9.846156e-002
1.580158998539021e-001	2.287902e+000	9.846249e-002
1.580165333059135e-001	2.287894e+000	9.846304e-002
1.580177331147407e-001	2.287879e+000	9.846409e-002
1.580197376253546e-001	2.287853e+000	9.846585e-002
1.580219154733549e-001	2.287825e+000	9.846776e-002
1.580242806288743e-001	2.287796e+000	9.846984e-002
1.580269317487879e-001	2.287762e+000	9.847216e-002
1.580294706900650e-001	2.287730e+000	9.847438e-002
1.580352738178460e-001	2.287656e+000	9.847945e-002
1.580415374649111e-001	2.287577e+000	9.848494e-002
1.580519701725915e-001	2.287445e+000	9.849407e-002
1.580726485446908e-001	2.287182e+000	9.851217e-002
1.581043391784371e-001	2.286780e+000	9.853989e-002
1.581304419992504e-001	2.286449e+000	9.856271e-002
1.581577284048450e-001	2.286102e+000	9.858656e-002
1.581966400062014e-001	2.285607e+000	9.862055e-002
1.582483462379552e-001	2.284948e+000	9.866568e-002
1.582670009843097e-001	2.284710e+000	9.868196e-002
1.582763021063464e-001	2.284592e+000	9.869007e-002
1.590967081102418e-001	2.274002e+000	9.939972e-002
1.599171141141372e-001	2.263174e+000	1.000976e-001
1.607375201180326e-001	2.252106e+000	1.007837e-001
1.615579261219279e-001	2.240800e+000	1.014581e-001
1.623783321258233e-001	2.229254e+000	1.021207e-001
1.631987381297186e-001	2.217469e+000	1.027715e-001
1.640191441336140e-001	2.205445e+000	1.034106e-001
1.697584808571107e-001	2.114876e+000	1.075525e-001
1.812371543041042e-001	1.901277e+000	1.141100e-001
2.041945011980910e-001	1.360864e+000	1.216542e-001
2.334913761980910e-001	5.149217e-001	1.217647e-001
2.627882511980910e-001	-4.000278e-001	1.135339e-001
2.627945096857924e-001	-4.002219e-001	1.135303e-001
2.636782269030749e-001	-4.276013e-001	1.130040e-001
2.645689025236430e-001	-4.551430e-001	1.124598e-001
2.663502537647792e-001	-5.100520e-001	1.113521e-001
2.663521564673858e-001	-5.101105e-001	1.113509e-001
