in s,C1 in V
-2.09275E+00,-2.437E+00
-2.09270E+00,-2.437E+00
-2.09265E+00,-2.476E+00
-2.09259E+00,-2.466E+00
-2.09254E+00,-2.446E+00
-2.09249E+00,-2.437E+00
-2.09244E+00,-2.456E+00
-2.09239E+00,-2.446E+00
-2.09234E+00,-2.446E+00
-2.09229E+00,-2.466E+00
-2.09224E+00,-2.485E+00
-2.09219E+00,-2.437E+00
-2.09213E+00,-2.456E+00
-2.09208E+00,-2.476E+00
-2.09203E+00,-2.466E+00
-2.09198E+00,-2.466E+00
-2.09193E+00,-2.437E+00
-2.09188E+00,-2.466E+00
-2.09183E+00,-2.485E+00
-2.09178E+00,-2.495E+00
-2.09173E+00,-2.446E+00
-2.09167E+00,-2.466E+00
-2.09162E+00,-2.456E+00
-2.09157E+00,-2.466E+00
-2.09152E+00,-2.466E+00
-2.09147E+00,-2.466E+00
-2.09142E+00,-2.476E+00
-2.09137E+00,-2.476E+00
-2.09132E+00,-2.476E+00
-2.09127E+00,-2.466E+00
-2.09121E+00,-2.466E+00
-2.09116E+00,-2.476E+00
-2.09111E+00,-2.476E+00
-2.09106E+00,-2.485E+00
-2.09101E+00,-2.456E+00
-2.09096E+00,-2.466E+00
-2.09091E+00,-2.466E+00
-2.09086E+00,-2.437E+00
-2.09081E+00,-2.495E+00
-2.09075E+00,-2.495E+00
-2.09070E+00,-2.466E+00
-2.09065E+00,-2.456E+00
-2.09060E+00,-2.485E+00
-2.09055E+00,-2.495E+00
-2.09050E+00,-2.476E+00
-2.09045E+00,-2.446E+00
-2.09040E+00,-2.495E+00
-2.09034E+00,-2.466E+00
-2.09029E+00,-2.466E+00
-2.09024E+00,-2.466E+00
-2.09019E+00,-2.466E+00
-2.09014E+00,-2.456E+00
-2.09009E+00,-2.446E+00
-2.09004E+00,-2.466E+00
-2.08999E+00,-2.476E+00
-2.08994E+00,-2.476E+00
-2.08988E+00,-2.437E+00
-2.08983E+00,-2.476E+00
-2.08978E+00,-2.446E+00
-2.08973E+00,-2.476E+00
-2.08968E+00,-2.407E+00
-2.08963E+00,-2.466E+00
-2.08958E+00,-2.485E+00
-2.08953E+00,-2.476E+00
-2.08948E+00,-2.446E+00
-2.08942E+00,-2.437E+00
-2.08937E+00,-2.437E+00
-2.08932E+00,-2.466E+00
-2.08927E+00,-2.466E+00
-2.08922E+00,-2.466E+00
-2.08917E+00,-2.456E+00
-2.08912E+00,-2.446E+00
-2.08907E+00,-2.466E+00
-2.08902E+00,-2.495E+00
-2.08896E+00,-2.437E+00
-2.08891E+00,-2.456E+00
-2.08886E+00,-2.476E+00
-2.08881E+00,-2.437E+00
-2.08876E+00,-2.505E+00
-2.08871E+00,-2.446E+00
-2.08866E+00,-2.476E+00
-2.08861E+00,-2.456E+00
-2.08856E+00,-2.495E+00
-2.08850E+00,-2.485E+00
-2.08845E+00,-2.446E+00
-2.08840E+00,-2.437E+00
-2.08835E+00,-2.466E+00
-2.08830E+00,-2.446E+00
-2.08825E+00,-2.466E+00
-2.08820E+00,-2.427E+00
-2.08815E+00,-2.446E+00
-2.08810E+00,-2.476E+00
-2.08804E+00,-2.456E+00
-2.08799E+00,-2.466E+00
-2.08794E+00,-2.476E+00
-2.08789E+00,-2.437E+00
-2.08784E+00,-2.437E+00
-2.08779E+00,-2.476E+00
-2.08774E+00,-2.476E+00
-2.08769E+00,-2.495E+00
-2.08764E+00,-2.495E+00
-2.08758E+00,-2.456E+00
-2.08753E+00,-2.466E+00
-2.08748E+00,-2.466E+00
-2.08743E+00,-2.466E+00
-2.08738E+00,-2.437E+00
-2.08733E+00,-2.476E+00
-2.08728E+00,-2.485E+00
-2.08723E+00,-2.446E+00
-2.08717E+00,-2.466E+00
-2.08712E+00,-2.476E+00
-2.08707E+00,-2.476E+00
-2.08702E+00,-2.456E+00
-2.08697E+00,-2.456E+00
-2.08692E+00,-2.466E+00
-2.08687E+00,-2.495E+00
-2.08682E+00,-2.456E+00
-2.08677E+00,-2.437E+00
-2.08671E+00,-2.476E+00
-2.08666E+00,-2.485E+00
-2.08661E+00,-2.485E+00
-2.08656E+00,-2.456E+00
-2.08651E+00,-2.485E+00
-2.08646E+00,-2.446E+00
-2.08641E+00,-2.466E+00
-2.08636E+00,-2.476E+00
-2.08631E+00,-2.417E+00
-2.08625E+00,-2.466E+00
-2.08620E+00,-2.437E+00
-2.08615E+00,-2.466E+00
-2.08610E+00,-2.437E+00
-2.08605E+00,-2.466E+00
-2.08600E+00,-2.446E+00
-2.08595E+00,-2.446E+00
-2.08590E+00,-2.437E+00
-2.08585E+00,-2.466E+00
-2.08579E+00,-2.446E+00
-2.08574E+00,-2.446E+00
-2.08569E+00,-2.485E+00
-2.08564E+00,-2.485E+00
-2.08559E+00,-2.446E+00
-2.08554E+00,-2.437E+00
-2.08549E+00,-2.476E+00
-2.08544E+00,-2.456E+00
-2.08539E+00,-2.437E+00
-2.08533E+00,-2.456E+00
-2.08528E+00,-2.456E+00
-2.08523E+00,-2.476E+00
-2.08518E+00,-2.456E+00
-2.08513E+00,-2.446E+00
-2.08508E+00,-2.466E+00
-2.08503E+00,-2.505E+00
-2.08498E+00,-2.485E+00
-2.08493E+00,-2.466E+00
-2.08487E+00,-2.476E+00
-2.08482E+00,-2.437E+00
-2.08477E+00,-2.437E+00
-2.08472E+00,-2.456E+00
-2.08467E+00,-2.446E+00
-2.08462E+00,-2.476E+00
-2.08457E+00,-2.446E+00
-2.08452E+00,-2.437E+00
-2.08447E+00,-2.456E+00
-2.08441E+00,-2.437E+00
-2.08436E+00,-2.456E+00
-2.08431E+00,-2.466E+00
-2.08426E+00,-2.456E+00
-2.08421E+00,-2.495E+00
-2.08416E+00,-2.466E+00
-2.08411E+00,-2.456E+00
-2.08406E+00,-2.466E+00
-2.08401E+00,-2.505E+00
-2.08395E+00,-2.456E+00
-2.08390E+00,-2.446E+00
-2.08385E+00,-2.456E+00
-2.08380E+00,-2.495E+00
-2.08375E+00,-2.446E+00
-2.08370E+00,-2.437E+00
-2.08365E+00,-2.495E+00
-2.08360E+00,-2.476E+00
-2.08354E+00,-2.437E+00
-2.08349E+00,-2.446E+00
-2.08344E+00,-2.437E+00
-2.08339E+00,-2.466E+00
-2.08334E+00,-2.446E+00
-2.08329E+00,-2.456E+00
-2.08324E+00,-2.466E+00
-2.08319E+00,-2.495E+00
-2.08314E+00,-2.456E+00
-2.08308E+00,-2.437E+00
-2.08303E+00,-2.476E+00
-2.08298E+00,-2.485E+00
-2.08293E+00,-2.466E+00
-2.08288E+00,-2.456E+00
-2.08283E+00,-2.485E+00
-2.08278E+00,-2.466E+00
-2.08273E+00,-2.446E+00
-2.08268E+00,-2.466E+00
-2.08262E+00,-2.446E+00
-2.08257E+00,-2.456E+00
-2.08252E+00,-2.466E+00
-2.08247E+00,-2.427E+00
-2.08242E+00,-2.446E+00
-2.08237E+00,-2.466E+00
-2.08232E+00,-2.466E+00
-2.08227E+00,-2.427E+00
-2.08222E+00,-2.476E+00
-2.08216E+00,-2.466E+00
-2.08211E+00,-2.437E+00
-2.08206E+00,-2.466E+00
-2.08201E+00,-2.437E+00
-2.08196E+00,-2.466E+00
-2.08191E+00,-2.407E+00
-2.08186E+00,-2.437E+00
-2.08181E+00,-2.476E+00
-2.08176E+00,-2.485E+00
-2.08170E+00,-2.466E+00
-2.08165E+00,-2.466E+00
-2.08160E+00,-2.476E+00
-2.08155E+00,-2.466E+00
-2.08150E+00,-2.446E+00
-2.08145E+00,-2.466E+00
-2.08140E+00,-2.466E+00
-2.08135E+00,-2.466E+00
-2.08130E+00,-2.456E+00
-2.08124E+00,-2.466E+00
-2.08119E+00,-2.456E+00
-2.08114E+00,-2.466E+00
-2.08109E+00,-2.437E+00
-2.08104E+00,-2.476E+00
-2.08099E+00,-2.437E+00
-2.08094E+00,-2.466E+00
-2.08089E+00,-2.446E+00
-2.08084E+00,-2.446E+00
-2.08078E+00,-2.476E+00
-2.08073E+00,-2.466E+00
-2.08068E+00,-2.456E+00
-2.08063E+00,-2.476E+00
-2.08058E+00,-2.437E+00
-2.08053E+00,-2.495E+00
-2.08048E+00,-2.446E+00
-2.08043E+00,-2.485E+00
-2.08037E+00,-2.437E+00
-2.08032E+00,-2.466E+00
-2.08027E+00,-2.446E+00
-2.08022E+00,-2.437E+00
-2.08017E+00,-2.456E+00
-2.08012E+00,-2.485E+00
-2.08007E+00,-2.466E+00
-2.08002E+00,-2.437E+00
-2.07997E+00,-2.476E+00
-2.07991E+00,-2.456E+00
-2.07986E+00,-2.437E+00
-2.07981E+00,-2.437E+00
-2.07976E+00,-2.466E+00
-2.07971E+00,-2.466E+00
-2.07966E+00,-2.437E+00
-2.07961E+00,-2.466E+00
-2.07956E+00,-2.476E+00
-2.07951E+00,-2.495E+00
-2.07945E+00,-2.446E+00
-2.07940E+00,-2.466E+00
-2.07935E+00,-2.495E+00
-2.07930E+00,-2.476E+00
-2.07925E+00,-2.446E+00
-2.07920E+00,-2.446E+00
-2.07915E+00,-2.466E+00
-2.07910E+00,-2.476E+00
-2.07905E+00,-2.437E+00
-2.07899E+00,-2.437E+00
-2.07894E+00,-2.456E+00
-2.07889E+00,-2.476E+00
-2.07884E+00,-2.437E+00
-2.07879E+00,-2.427E+00
-2.07874E+00,-2.476E+00
-2.07869E+00,-2.476E+00
-2.07864E+00,-2.446E+00
-2.07859E+00,-2.466E+00
-2.07853E+00,-2.437E+00
-2.07848E+00,-2.485E+00
-2.07843E+00,-2.446E+00
-2.07838E+00,-2.466E+00
-2.07833E+00,-2.476E+00
-2.07828E+00,-2.466E+00
-2.07823E+00,-2.446E+00
-2.07818E+00,-2.466E+00
-2.07813E+00,-2.446E+00
-2.07807E+00,-2.456E+00
-2.07802E+00,-2.466E+00
-2.07797E+00,-2.476E+00
-2.07792E+00,-2.446E+00
-2.07787E+00,-2.485E+00
-2.07782E+00,-2.437E+00
-2.07777E+00,-2.466E+00
-2.07772E+00,-2.437E+00
-2.07767E+00,-2.515E+00
-2.07761E+00,-2.456E+00
-2.07756E+00,-2.476E+00
-2.07751E+00,-2.476E+00
-2.07746E+00,-2.485E+00
-2.07741E+00,-2.485E+00
-2.07736E+00,-2.446E+00
-2.07731E+00,-2.446E+00
-2.07726E+00,-2.505E+00
-2.07720E+00,-2.437E+00
-2.07715E+00,-2.437E+00
-2.07710E+00,-2.476E+00
-2.07705E+00,-2.456E+00
-2.07700E+00,-2.466E+00
-2.07695E+00,-2.456E+00
-2.07690E+00,-2.446E+00
-2.07685E+00,-2.446E+00
-2.07680E+00,-2.466E+00
-2.07674E+00,-2.437E+00
-2.07669E+00,-2.446E+00
-2.07664E+00,-2.466E+00
