in s,C1 in V
-9.24243E+00,2.505E+00
-9.24226E+00,2.505E+00
-9.24209E+00,2.524E+00
-9.24192E+00,2.495E+00
-9.24175E+00,2.524E+00
-9.24158E+00,2.505E+00
-9.24140E+00,2.505E+00
-9.24123E+00,2.495E+00
-9.24106E+00,2.505E+00
-9.24089E+00,2.495E+00
-9.24072E+00,2.515E+00
-9.24055E+00,2.524E+00
-9.24038E+00,2.505E+00
-9.24020E+00,2.505E+00
-9.24003E+00,2.515E+00
-9.23986E+00,2.505E+00
-9.23969E+00,2.495E+00
-9.23952E+00,2.524E+00
-9.23935E+00,2.505E+00
-9.23918E+00,2.515E+00
-9.23900E+00,2.505E+00
-9.23883E+00,2.515E+00
-9.23866E+00,2.534E+00
-9.23849E+00,2.524E+00
-9.23832E+00,2.544E+00
-9.23815E+00,2.524E+00
-9.23798E+00,2.505E+00
-9.23781E+00,2.524E+00
-9.23763E+00,2.563E+00
-9.23746E+00,2.495E+00
-9.23729E+00,2.524E+00
-9.23712E+00,2.524E+00
-9.23695E+00,2.534E+00
-9.23678E+00,2.495E+00
-9.23661E+00,2.495E+00
-9.23643E+00,2.515E+00
-9.23626E+00,2.524E+00
-9.23609E+00,2.515E+00
-9.23592E+00,2.524E+00
-9.23575E+00,2.524E+00
-9.23558E+00,2.515E+00
-9.23541E+00,2.524E+00
-9.23524E+00,2.515E+00
-9.23506E+00,2.544E+00
-9.23489E+00,2.524E+00
-9.23472E+00,2.505E+00
-9.23455E+00,2.534E+00
-9.23438E+00,2.524E+00
-9.23421E+00,2.534E+00
-9.23404E+00,2.505E+00
-9.23386E+00,2.534E+00
-9.23369E+00,2.505E+00
-9.23352E+00,2.524E+00
-9.23335E+00,2.534E+00
-9.23318E+00,2.534E+00
-9.23301E+00,2.505E+00
-9.23284E+00,2.544E+00
-9.23266E+00,2.515E+00
-9.23249E+00,2.524E+00
-9.23232E+00,2.515E+00
-9.23215E+00,2.515E+00
-9.23198E+00,2.515E+00
-9.23181E+00,2.515E+00
-9.23164E+00,2.515E+00
-9.23147E+00,2.505E+00
-9.23129E+00,2.485E+00
-9.23112E+00,2.505E+00
-9.23095E+00,2.505E+00
-9.23078E+00,2.505E+00
-9.23061E+00,2.495E+00
-9.23044E+00,2.524E+00
-9.23027E+00,2.515E+00
-9.23009E+00,2.495E+00
-9.22992E+00,2.544E+00
-9.22975E+00,2.505E+00
-9.22958E+00,2.524E+00
-9.22941E+00,2.524E+00
-9.22924E+00,2.524E+00
-9.22907E+00,2.505E+00
-9.22889E+00,2.505E+00
-9.22872E+00,2.485E+00
-9.22855E+00,2.485E+00
-9.22838E+00,2.495E+00
-9.22821E+00,2.534E+00
-9.22804E+00,2.495E+00
-9.22787E+00,2.544E+00
-9.22770E+00,2.534E+00
-9.22752E+00,2.524E+00
-9.22735E+00,2.505E+00
-9.22718E+00,2.495E+00
-9.22701E+00,2.505E+00
-9.22684E+00,2.515E+00
-9.22667E+00,2.505E+00
-9.22650E+00,2.524E+00
-9.22632E+00,2.515E+00
-9.22615E+00,2.544E+00
-9.22598E+00,2.505E+00
-9.22581E+00,2.524E+00
-9.22564E+00,2.505E+00
-9.22547E+00,2.515E+00
-9.22530E+00,2.485E+00
-9.22512E+00,2.515E+00
-9.22495E+00,2.524E+00
-9.22478E+00,2.534E+00
-9.22461E+00,2.534E+00
-9.22444E+00,2.485E+00
-9.22427E+00,2.515E+00
-9.22410E+00,2.505E+00
-9.22393E+00,2.515E+00
-9.22375E+00,2.534E+00
-9.22358E+00,2.495E+00
-9.22341E+00,2.524E+00
-9.22324E+00,2.534E+00
-9.22307E+00,2.495E+00
-9.22290E+00,2.515E+00
-9.22273E+00,2.515E+00
-9.22255E+00,2.544E+00
-9.22238E+00,2.505E+00
-9.22221E+00,2.495E+00
-9.22204E+00,2.505E+00
-9.22187E+00,2.505E+00
-9.22170E+00,2.495E+00
-9.22153E+00,2.515E+00
-9.22135E+00,2.524E+00
-9.22118E+00,2.495E+00
-9.22101E+00,2.505E+00
-9.22084E+00,2.534E+00
-9.22067E+00,2.534E+00
-9.22050E+00,2.534E+00
-9.22033E+00,2.534E+00
-9.22016E+00,2.485E+00
-9.21998E+00,2.505E+00
-9.21981E+00,2.505E+00
-9.21964E+00,2.544E+00
-9.21947E+00,2.505E+00
-9.21930E+00,2.505E+00
-9.21913E+00,2.505E+00
-9.21896E+00,2.515E+00
-9.21878E+00,2.544E+00
-9.21861E+00,2.515E+00
-9.21844E+00,2.485E+00
-9.21827E+00,2.505E+00
-9.21810E+00,2.485E+00
-9.21793E+00,2.515E+00
-9.21776E+00,2.495E+00
-9.21758E+00,2.515E+00
-9.21741E+00,2.495E+00
-9.21724E+00,2.495E+00
-9.21707E+00,2.505E+00
-9.21690E+00,2.515E+00
-9.21673E+00,2.515E+00
-9.21656E+00,2.495E+00
-9.21639E+00,2.505E+00
-9.21621E+00,2.524E+00
-9.21604E+00,2.534E+00
-9.21587E+00,2.515E+00
-9.21570E+00,2.515E+00
-9.21553E+00,2.515E+00
-9.21536E+00,2.485E+00
-9.21519E+00,2.524E+00
-9.21501E+00,2.524E+00
-9.21484E+00,2.476E+00
-9.21467E+00,2.505E+00
-9.21450E+00,2.485E+00
-9.21433E+00,2.505E+00
-9.21416E+00,2.505E+00
-9.21399E+00,2.476E+00
-9.21382E+00,2.495E+00
-9.21364E+00,2.534E+00
-9.21347E+00,2.544E+00
-9.21330E+00,2.495E+00
-9.21313E+00,2.515E+00
-9.21296E+00,2.505E+00
-9.21279E+00,2.505E+00
-9.21262E+00,2.505E+00
-9.21244E+00,2.515E+00
-9.21227E+00,2.534E+00
-9.21210E+00,2.505E+00
-9.21193E+00,2.515E+00
-9.21176E+00,2.485E+00
-9.21159E+00,2.505E+00
-9.21142E+00,2.485E+00
-9.21124E+00,2.534E+00
-9.21107E+00,2.524E+00
-9.21090E+00,2.495E+00
-9.21073E+00,2.534E+00
-9.21056E+00,2.505E+00
-9.21039E+00,2.515E+00
-9.21022E+00,2.495E+00
-9.21005E+00,2.544E+00
-9.20987E+00,2.485E+00
-9.20970E+00,2.505E+00
-9.20953E+00,2.534E+00
-9.20936E+00,2.515E+00
-9.20919E+00,2.534E+00
-9.20902E+00,2.534E+00
-9.20885E+00,2.524E+00
-9.20867E+00,2.505E+00
-9.20850E+00,2.515E+00
-9.20833E+00,2.505E+00
-9.20816E+00,2.505E+00
-9.20799E+00,2.495E+00
-9.20782E+00,2.495E+00
-9.20765E+00,2.495E+00
-9.20747E+00,2.495E+00
-9.20730E+00,2.524E+00
-9.20713E+00,2.534E+00
-9.20696E+00,2.534E+00
-9.20679E+00,2.485E+00
-9.20662E+00,2.505E+00
-9.20645E+00,2.485E+00
-9.20628E+00,2.505E+00
-9.20610E+00,2.515E+00
-9.20593E+00,2.524E+00
-9.20576E+00,2.524E+00
-9.20559E+00,2.515E+00
-9.20542E+00,2.485E+00
-9.20525E+00,2.524E+00
-9.20508E+00,2.544E+00
-9.20490E+00,2.505E+00
-9.20473E+00,2.495E+00
-9.20456E+00,2.476E+00
-9.20439E+00,2.515E+00
-9.20422E+00,2.534E+00
-9.20405E+00,2.485E+00
-9.20388E+00,2.485E+00
-9.20370E+00,2.534E+00
-9.20353E+00,2.505E+00
-9.20336E+00,2.534E+00
-9.20319E+00,2.505E+00
-9.20302E+00,2.515E+00
-9.20285E+00,2.495E+00
-9.20268E+00,2.524E+00
-9.20251E+00,2.515E+00
-9.20233E+00,2.515E+00
-9.20216E+00,2.515E+00
-9.20199E+00,2.524E+00
-9.20182E+00,2.544E+00
-9.20165E+00,2.544E+00
-9.20148E+00,2.505E+00
-9.20131E+00,2.524E+00
-9.20113E+00,2.524E+00
-9.20096E+00,2.524E+00
-9.20079E+00,2.534E+00
-9.20062E+00,2.505E+00
-9.20045E+00,2.505E+00
-9.20028E+00,2.524E+00
-9.20011E+00,2.515E+00
-9.19993E+00,2.515E+00
-9.19976E+00,2.515E+00
-9.19959E+00,2.495E+00
-9.19942E+00,2.505E+00
-9.19925E+00,2.505E+00
-9.19908E+00,2.524E+00
-9.19891E+00,2.505E+00
-9.19874E+00,2.524E+00
-9.19856E+00,2.505E+00
-9.19839E+00,2.515E+00
-9.19822E+00,2.495E+00
-9.19805E+00,2.505E+00
-9.19788E+00,2.505E+00
-9.19771E+00,2.476E+00
-9.19754E+00,2.505E+00
-9.19736E+00,2.485E+00
-9.19719E+00,2.515E+00
-9.19702E+00,2.534E+00
-9.19685E+00,2.495E+00
-9.19668E+00,2.515E+00
-9.19651E+00,2.495E+00
-9.19634E+00,2.485E+00
-9.19616E+00,2.476E+00
-9.19599E+00,2.505E+00
-9.19582E+00,2.476E+00
-9.19565E+00,2.495E+00
-9.19548E+00,2.524E+00
-9.19531E+00,2.495E+00
-9.19514E+00,2.524E+00
-9.19497E+00,2.534E+00
-9.19479E+00,2.524E+00
-9.19462E+00,2.515E+00
-9.19445E+00,2.495E+00
-9.19428E+00,2.485E+00
-9.19411E+00,2.524E+00
-9.19394E+00,2.534E+00
-9.19377E+00,2.544E+00
-9.19359E+00,2.505E+00
-9.19342E+00,2.534E+00
-9.19325E+00,2.495E+00
-9.19308E+00,2.515E+00
-9.19291E+00,2.495E+00
-9.19274E+00,2.505E+00
-9.19257E+00,2.534E+00
-9.19240E+00,2.485E+00
-9.19222E+00,2.505E+00
-9.19205E+00,2.476E+00
-9.19188E+00,2.524E+00
-9.19171E+00,2.544E+00
-9.19154E+00,2.524E+00
-9.19137E+00,2.505E+00
-9.19120E+00,2.515E+00
-9.19102E+00,2.534E+00
-9.19085E+00,2.544E+00
-9.19068E+00,2.534E+00
-9.19051E+00,2.534E+00
-9.19034E+00,2.534E+00
-9.19017E+00,2.544E+00
-9.19000E+00,2.495E+00
-9.18982E+00,2.485E+00
-9.18965E+00,2.515E+00
-9.18948E+00,2.534E+00
-9.18931E+00,2.534E+00
-9.18914E+00,2.505E+00
-9.18897E+00,2.524E+00
-9.18880E+00,2.515E+00
-9.18863E+00,2.534E+00
-9.18845E+00,2.505E+00
-9.18828E+00,2.524E+00
-9.18811E+00,2.524E+00
-9.18794E+00,2.505E+00
-9.18777E+00,2.505E+00
-9.18760E+00,2.524E+00
-9.18743E+00,2.544E+00
-9.18725E+00,2.505E+00
-9.18708E+00,2.495E+00
-9.18691E+00,2.476E+00
-9.18674E+00,2.505E+00
-9.18657E+00,2.485E+00
-9.18640E+00,2.524E+00
-9.18623E+00,2.505E+00
-9.18605E+00,2.515E+00
-9.18588E+00,2.485E+00
-9.18571E+00,2.515E+00
-9.18554E+00,2.515E+00
-9.18537E+00,2.495E+00
-9.18520E+00,2.505E+00
-9.18503E+00,2.495E+00
-9.18486E+00,2.524E+00
-9.18468E+00,2.476E+00
-9.18451E+00,2.524E+00
-9.18434E+00,2.476E+00
-9.18417E+00,2.505E+00
-9.18400E+00,2.534E+00
-9.18383E+00,2.495E+00
-9.18366E+00,2.534E+00
-9.18348E+00,2.544E+00
-9.18331E+00,2.505E+00
-9.18314E+00,2.476E+00
-9.18297E+00,2.515E+00
-9.18280E+00,2.505E+00
-9.18263E+00,2.515E+00
-9.18246E+00,2.505E+00
-9.18228E+00,2.524E+00
-9.18211E+00,2.515E+00
-9.18194E+00,2.485E+00
-9.18177E+00,2.534E+00
-9.18160E+00,2.515E+00
-9.18143E+00,2.534E+00
-9.18126E+00,2.534E+00
-9.18109E+00,2.524E+00
-9.18091E+00,2.534E+00
-9.18074E+00,2.485E+00
-9.18057E+00,2.534E+00
-9.18040E+00,2.485E+00
-9.18023E+00,2.515E+00
-9.18006E+00,2.485E+00
-9.17989E+00,2.544E+00
-9.17971E+00,2.505E+00
-9.17954E+00,2.485E+00
-9.17937E+00,2.495E+00
-9.17920E+00,2.524E+00
-9.17903E+00,2.505E+00
-9.17886E+00,2.544E+00
-9.17869E+00,2.515E+00
-9.17851E+00,2.515E+00
-9.17834E+00,2.485E+00
-9.17817E+00,2.544E+00
-9.17800E+00,2.495E+00
-9.17783E+00,2.495E+00
-9.17766E+00,2.505E+00
-9.17749E+00,2.515E+00
-9.17732E+00,2.505E+00
-9.17714E+00,2.524E+00
-9.17697E+00,2.524E+00
-9.17680E+00,2.515E+00
-9.17663E+00,2.476E+00
-9.17646E+00,2.515E+00
-9.17629E+00,2.476E+00
-9.17612E+00,2.515E+00
-9.17594E+00,2.476E+00
-9.17577E+00,2.505E+00
-9.17560E+00,2.524E+00
-9.17543E+00,2.505E+00
-9.17526E+00,2.495E+00
-9.17509E+00,2.505E+00
-9.17492E+00,2.515E+00
-9.17474E+00,2.505E+00
