in s,C1 in V
-7.25395E+00,2.554E+00
-7.25382E+00,2.573E+00
-7.25369E+00,2.554E+00
-7.25356E+00,2.573E+00
-7.25342E+00,2.603E+00
-7.25329E+00,2.544E+00
-7.25316E+00,2.524E+00
-7.25303E+00,2.573E+00
-7.25290E+00,2.573E+00
-7.25277E+00,2.544E+00
-7.25264E+00,2.573E+00
-7.25251E+00,2.544E+00
-7.25238E+00,2.583E+00
-7.25224E+00,2.563E+00
-7.25211E+00,2.563E+00
-7.25198E+00,2.583E+00
-7.25185E+00,2.573E+00
-7.25172E+00,2.554E+00
-7.25159E+00,2.573E+00
-7.25146E+00,2.563E+00
-7.25133E+00,2.554E+00
-7.25120E+00,2.554E+00
-7.25107E+00,2.554E+00
-7.25093E+00,2.563E+00
-7.25080E+00,2.544E+00
-7.25067E+00,2.563E+00
-7.25054E+00,2.554E+00
-7.25041E+00,2.554E+00
-7.25028E+00,2.554E+00
-7.25015E+00,2.544E+00
-7.25002E+00,-2.036E+00
-7.24989E+00,-2.046E+00
-7.24976E+00,-2.095E+00
-7.24962E+00,-2.104E+00
-7.24949E+00,-2.085E+00
-7.24936E+00,-2.065E+00
-7.24923E+00,-2.075E+00
-7.24910E+00,-2.095E+00
-7.24897E+00,-2.114E+00
-7.24884E+00,-2.065E+00
-7.24871E+00,-2.075E+00
-7.24858E+00,-2.085E+00
-7.24844E+00,-2.104E+00
-7.24831E+00,-2.075E+00
-7.24818E+00,-2.104E+00
-7.24805E+00,-2.104E+00
-7.24792E+00,-2.065E+00
-7.24779E+00,-2.095E+00
-7.24766E+00,-2.085E+00
-7.24753E+00,-2.095E+00
-7.24740E+00,-2.104E+00
-7.24727E+00,-2.114E+00
-7.24713E+00,-2.095E+00
-7.24700E+00,-2.104E+00
-7.24687E+00,-2.124E+00
-7.24674E+00,-2.114E+00
-7.24661E+00,-2.104E+00
-7.24648E+00,-2.095E+00
-7.24635E+00,-2.124E+00
-7.24622E+00,-2.065E+00
-7.24609E+00,-2.114E+00
-7.24596E+00,-2.134E+00
-7.24582E+00,-2.095E+00
-7.24569E+00,-2.104E+00
-7.24556E+00,-2.085E+00
-7.24543E+00,-2.114E+00
-7.24530E+00,-2.104E+00
-7.24517E+00,-2.095E+00
-7.24504E+00,-2.144E+00
-7.24491E+00,-2.095E+00
-7.24478E+00,-2.134E+00
-7.24464E+00,-2.124E+00
-7.24451E+00,-2.114E+00
-7.24438E+00,-2.134E+00
-7.24425E+00,-2.114E+00
-7.24412E+00,-2.095E+00
-7.24399E+00,-2.095E+00
-7.24386E+00,-2.095E+00
-7.24373E+00,-2.134E+00
-7.24360E+00,-2.134E+00
-7.24347E+00,-2.085E+00
-7.24333E+00,-2.124E+00
-7.24320E+00,-2.124E+00
-7.24307E+00,-2.134E+00
-7.24294E+00,-2.124E+00
-7.24281E+00,-2.134E+00
-7.24268E+00,-2.134E+00
-7.24255E+00,-2.085E+00
-7.24242E+00,-2.124E+00
-7.24229E+00,-2.104E+00
-7.24215E+00,-2.075E+00
-7.24202E+00,-2.134E+00
-7.24189E+00,-2.124E+00
-7.24176E+00,-2.114E+00
-7.24163E+00,-2.075E+00
-7.24150E+00,-2.104E+00
-7.24137E+00,-2.114E+00
-7.24124E+00,-2.104E+00
-7.24111E+00,-2.104E+00
-7.24098E+00,-2.124E+00
-7.24084E+00,-2.124E+00
-7.24071E+00,-2.124E+00
-7.24058E+00,-2.134E+00
-7.24045E+00,-2.144E+00
-7.24032E+00,-2.114E+00
-7.24019E+00,-2.114E+00
-7.24006E+00,-2.114E+00
-7.23993E+00,-2.153E+00
-7.23980E+00,-2.124E+00
-7.23967E+00,-2.114E+00
-7.23953E+00,-2.144E+00
-7.23940E+00,-2.134E+00
-7.23927E+00,-2.124E+00
-7.23914E+00,-2.134E+00
-7.23901E+00,-2.114E+00
-7.23888E+00,-2.134E+00
-7.23875E+00,-2.124E+00
-7.23862E+00,-2.144E+00
-7.23849E+00,-2.144E+00
-7.23835E+00,-2.134E+00
-7.23822E+00,-2.144E+00
-7.23809E+00,-2.163E+00
-7.23796E+00,-2.153E+00
-7.23783E+00,-2.134E+00
-7.23770E+00,-2.114E+00
-7.23757E+00,-2.104E+00
-7.23744E+00,-2.144E+00
-7.23731E+00,-2.144E+00
-7.23718E+00,-2.114E+00
-7.23704E+00,-2.183E+00
-7.23691E+00,-2.173E+00
-7.23678E+00,-2.124E+00
-7.23665E+00,-2.144E+00
-7.23652E+00,-2.153E+00
